id_servico;id_orgao;nome_orgao;servico;servico_digital;avaliacoes_negativas;avaliacoes_positivas;porcentagem_digital
392;37534;Ministério da Saúde (MS);Receber auxílio médico emergencial;false;3;3;0
498;37525;Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC);Solicitar equipamentos recondicionados para Ponto de Inclusão Digital;false;0;12;100
833;37546;Ministério do Trabalho  (MTB);Cadastrar empresas que utilizam Benzeno;true;1;5;100
955;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Obter o Certificado de Granja de Reprodutoras de Suínos.;false;0;2;0
746;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter auxílio técnico em investigações de medidas compensatórias no exterior;false;0;0;100
748;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter auxílio técnico nas investigações de origem preferencial de terceiro governo;false;0;0;33
2561;34306;Fundação Instituto de Pesquisa Econômica Aplicada (IPEA);Obter bolsa de pesquisa internacional;false;0;1;66
958;37525;Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC);Estudar na Pós-Graduação do CBPF;false;12;13;0
1361;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Obter autorização para importação sem fins comerciais de bebidas, vinagres e derivados da uva e do vinho.;false;0;0;0
787;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter benefícios fiscais para importação de matéria-prima para fabricação nacional de máquinas e equipamentos a serem fornecidos no mercado interno.;false;0;0;100
797;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter benefícios fiscais da Lei da Informática;false;2;0;100
2464;34305;Fundação Instituto Brasileiro de Geografia e Estatística (IBGE);Transformar coordenadas entre os sistemas de referência oficiais em uso no Brasil;false;1;1;100
1703;822;Advocacia-Geral da União (AGU);Obter consultoria e assessoramento jurídico extrajudicial para autarquias e fundações públicas federais;false;0;1;100
836;37546;Ministério do Trabalho  (MTB);Obter Certidão Declaratória de Transporte de Trabalhadores;false;3;21;0
809;13293;Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES);Obter Bolsa de Pós-Graduação no Exterior;false;1;9;100
957;37525;Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC);Obter incentivos fiscais do PADIS;false;2;2;0
3049;37021;Instituto de Pesquisas Jardim Botânico do Rio de Janeiro (JBRJ);Obter empréstimo de material vivo para fins de pesquisa e estudo;false;0;0;100
822;37546;Ministério do Trabalho  (MTB);Entregar a Relação Anual de Informações Sociais;false;5;13;50
1227;37528;Ministério da Educação (MEC);Obter transporte escolar acessível para o município;false;2;6;100
887;37546;Ministério do Trabalho  (MTB);Inscrever-se no Portal Emprega Brasil;false;46;112;80
962;37525;Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC);Aprender a recondicionar e operar computadores;false;2;31;0
1363;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Obter autorização de importação de produtos vegetais para representações diplomáticas;false;0;1;0
3138;908;Agência Nacional de Aviação Civil (ANAC);Obter validação de grande modificação ao projeto de tipo estrangeiro;false;0;0;0
1497;37529;Ministério da Fazenda (MF);Declarar operações com papel imune;false;2;2;100
959;37525;Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC);Obter permissão de uso do Selo de Identificação de Conformidade;false;0;2;0
996;37529;Ministério da Fazenda (MF);Requerer alterações na aplicação de medidas antidumping e compensatórias por razões de interesse público.;false;0;1;0
998;37529;Ministério da Fazenda (MF);Obter ressarcimento do IPI - Missões Diplomáticas, Repartições Consultares e Organizações Internacionais;false;0;2;100
960;37525;Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC);Obter cessão de áreas naturais para a realização de estudos ambientais;false;0;0;100
973;37542;Ministério do Desenvolvimento Social  (MDS);Receber de forma gratuita sementes destinadas à agricultura familiar.;false;2;10;0
3139;908;Agência Nacional de Aviação Civil (ANAC);Emendar Certificado Suplementar de Tipo;false;0;0;0
1498;37529;Ministério da Fazenda (MF);Declarar operações financeiras, cambiais, de benefícios de previdencia, seguros e consórcios.;false;4;1;100
961;37525;Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC);Obter computadores para Pontos de Inclusão Digital;false;2;17;66
2310;37527;Ministério da Defesa (MD);Adquirir Autorizações especiais para utilizar Produtos Controlados pelo Exército;false;4;22;0
990;37528;Ministério da Educação (MEC);Obter apoio suplementar para abertura de turmas de alfabetização de jovens e adultos;true;0;5;60
1048;4715;Banco Central do Brasil (BACEN);Obter o Extrato do Registro de Informações no Banco Central;false;25;44;100
2465;36722;Instituto Brasileiro de Museus (IBRAM);Realizar visita orientada à Biblioteca Central do Ibram;false;0;3;0
978;37542;Ministério do Desenvolvimento Social  (MDS);Receber tecnologia social de acesso à água - escolas públicas rurais;false;0;0;0
985;37543;Ministério do Esporte (ME);Receber a Bolsa Atleta;false;2;14;100
1424;37536;Ministério das Cidades (MCIDADES);Obter financiamento para aquisição de casa própria;false;19;34;0
986;37528;Ministério da Educação (MEC);Obter apoio para implementação de programas de extensão universitária;true;1;2;75
966;37526;Ministério da Cultura (MinC);Obter mediação e arbitragem em Direitos Autorais;false;0;3;81
972;37542;Ministério do Desenvolvimento Social  (MDS);Vender sementes provenientes da agricultura familiar ao poder público, via associações e cooperativas;false;0;1;0
995;37529;Ministério da Fazenda (MF);Obter o Seguro de Crédito à Exportação;false;0;1;100
964;37526;Ministério da Cultura (MinC);Entregar materiais ao acervo audiovisual do Ministério da Cultura;false;1;0;66
994;37528;Ministério da Educação (MEC);Obter apoio financeiro para implementação ou expansão de escolas em tempo integral;false;1;4;75
965;37526;Ministério da Cultura (MinC);Obter empréstimo de equipamento e assistência técnica para a produção de filmes;false;0;0;60
913;822;Advocacia-Geral da União (AGU);Pagar Débitos a Órgãos Federais;false;49;8;100
915;822;Advocacia-Geral da União (AGU);Participar de Capacitações da AGU;false;1;8;66
1256;37534;Ministério da Saúde (MS);Ser qualificado para atender pacientes renais crônicos e ofertar Terapia Renal Substitutiva (TRS);false;0;0;100
920;37535;Ministério da Transparência e Controladoria-Geral da União (CGU);Obter certidão de antecedentes em processo correcional;false;8;7;0
921;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Obter assistência Técnica e extensão rural para o Médio Produtor.;false;0;11;0
918;6041;Casa Civil da Presidência da República (CC-PR);Obter financiamento do Programa Nacional de Crédito Fundiário;false;2;23;0
924;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Receber análise de solos;false;4;3;50
925;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Receber análise de água;false;1;4;0
3174;917;Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP);Obter autorização para Atividade de Transportador-Revendedor-Retalhista;false;2;1;0
926;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Receber Análise microbiológica de alimentos e águas.;false;0;2;0
928;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Requerer sementes híbridas de cacaueira;false;0;1;0
930;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Obter assistência técnica para cultivos e criações regionais;false;0;0;50
931;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Obter o Crédito Rural Orientado;false;0;5;33
3152;909;Agência Nacional de Energia Elétrica (ANEEL);Obter autorização para ampliação de instalações de transmissão no sistema isolado.;false;0;0;0
934;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Obter autorização de funcionamento para estabelecimentos que lidam com produtos destinados à alimentação animal.;false;0;6;50
979;37542;Ministério do Desenvolvimento Social  (MDS);Receber tecnologia social de acesso à água para produção de alimentos;false;0;3;0
933;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Homologar curso de classificadores de produtos de origem vegetal padronizados.;false;0;1;0
932;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Credenciar empresa classificadora;false;1;2;0
1009;37529;Ministério da Fazenda (MF);Obter Certificado de Operador Econômico Autorizado;false;0;4;75
1030;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter desoneração tributária para reposição de insumos utilizados para exportação.;false;0;0;100
976;37542;Ministério do Desenvolvimento Social  (MDS);Receber tecnologia social de acesso à água para consumo familiar;false;1;6;0
1017;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter prorrogação de medida antidumping;false;0;0;88
982;37542;Ministério do Desenvolvimento Social  (MDS);Capacitar-se como instrutor de Formulários do Cadastro Único e de Gestão do Cadastro Único e do PBF;false;2;15;75
983;37542;Ministério do Desenvolvimento Social  (MDS);Capacitar-se em temas relativos ao Desenvolvimento Social;false;1;37;100
1020;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter alteração ou extinção de medida antidumping;false;0;1;100
1023;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter alteração de direito antidumping;false;0;0;100
936;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Obter autorização para fabricação de produtos para alimentação animal com o uso de medicamentos de uso veterinário.;false;0;1;0
943;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Inscrever reprodutor;false;0;0;0
941;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Registrar estabelecimento industrial e comercial de material de multiplicação animal.;false;1;1;0
945;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Obter licença para fabricação ou manipulação para fins comerciais de produto de uso veterinário.;false;1;2;50
944;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Cancelar inscrição de reprodutor;false;2;0;0
937;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Cancelar registro de produto junto ao Ministério da Agricultura;false;4;1;0
946;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Renovar licença para fabricação ou manipulação para fins comerciais de produto de uso veterinário.;false;0;0;50
947;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Registrar produto veterinário de natureza biológica.;false;0;0;0
952;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Obter o Certificado Sanitário de Compartimento Avícola;false;0;0;0
984;37542;Ministério do Desenvolvimento Social  (MDS);Receber de forma gratuita alimentos produzidos pela agricultura familiar via CONAB.;false;3;2;0
1011;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter Ex-Tarifário para Bens de Capital e Bens de Informática e Telecomunicações;false;0;7;33
2976;34305;Fundação Instituto Brasileiro de Geografia e Estatística (IBGE);Obter coordenadas referenciadas ao SIRGAS2000;false;3;2;100
951;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Obter certidão de registro de estabelecimento avícola;false;1;0;0
988;37528;Ministério da Educação (MEC);Habillitar instituição privada para o Programa Nacional de Acesso ao Ensino Técnico e Emprego;false;17;25;50
953;37528;Ministério da Educação (MEC);Estudar o Ensino Superior no Brasil;false;10;18;0
1012;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Aderir à Vitrine do Exportador;false;1;17;100
1004;37529;Ministério da Fazenda (MF);Cadastrar-se no Registro Especial de Empresas que realizam operações com Papel Imune;false;0;2;50
950;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Habilitar-se para atuação no Programa Nacional de Controle e Erradicação da Brucelose e da Tuberculose Animal (PNCEBT);false;3;5;0
1000;37529;Ministério da Fazenda (MF);Inscrever imóvel rural;true;0;9;66
1061;37529;Ministério da Fazenda (MF);Obter Certidão de Regularidade Fiscal para Pessoas Físicas;true;16;36;100
1013;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter benefício de redução a zero do Imposto de Renda para operações de promoção comercial de produtos e serviços;false;3;4;100
1014;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter restituição de direitos antidumping recolhidos em montante superior à margem de dumping.;false;0;0;100
1028;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter redução no imposto de importação na Colômbia para produtos lácteos;false;1;0;66
989;37528;Ministério da Educação (MEC);Obter declarações de regularidade de cursos e instituições para apresentação no exterior;false;40;27;100
999;37529;Ministério da Fazenda (MF);Obter restituição de valores indevidamente cobrados inscritos em Dívida Ativa da União;false;0;1;50
1005;37529;Ministério da Fazenda (MF);Participar de Cursos de Capacitação na ESAF;false;3;6;60
1015;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter margem individual de dumping;false;0;0;100
1019;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter extensão de medida antidumping para neutralizar práticas de circunvenção;false;0;0;100
788;26267;Departamento de Polícia Federal (DPF);Emitir Certidão de Antecedentes Criminais;true;247;1259;100
1025;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Verificar se um produto está sujeito a medida antidumping em vigor;false;0;0;100
1029;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter redução do imposto de importação na União Europeia para açúcar;false;0;0;66
895;34299;Fundação Alexandre de Gusmão (FUNAG);Inscrever-se em atividades do Programa Anual de Trabalho da FUNAG;true;0;10;100
2590;55943;Superintendência de Seguros Privados (SUSEP);Obter autorização para aquisição ou funcionamento junto à SUSEP;false;1;1;0
1026;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter medida antidumping;false;0;0;88
1027;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Obter concessão de Regime Aduaneiro Especial para mercadorias destinadas à industrialização de embarcação.;false;0;0;100
1032;37532;Ministério da Justiça  (MJ);Reclamar contra serviço ou produto de empresas privadas;false;12;32;100
1040;37534;Ministério da Saúde (MS);Solicitar apoio à Força Nacional do SUS;false;0;3;100
1042;37534;Ministério da Saúde (MS);Obter bolsas do Pró-Residência;false;0;2;77
1051;37534;Ministério da Saúde (MS);Habilitar estabelecimento como Centro de Atendimento de Urgência aos Pacientes com AVC;false;0;3;100
1050;37534;Ministério da Saúde (MS);Habilitar estabelecimento na Alta Complexidade em Neurocirurgia e Neurologia;false;1;4;100
1033;37540;Ministério de Minas e Energia (MME);Obter de acesso à Rede Básica de Energia;false;2;1;100
1035;37539;Ministério das Relações Exteriores (MRE);Legalizar documento para validade em países que não são parte da Convenção da Apostila de Haia.;false;5;12;0
1053;37529;Ministério da Fazenda (MF);Parcelar débitos de Pessoa Jurídica em Recuperação Judicial;false;1;1;75
1426;37536;Ministério das Cidades (MCIDADES);Obter apoio técnico e financeiro para elaboração de projetos de mobilidade urbana;false;0;5;0
1054;37529;Ministério da Fazenda (MF);Parcelar débitos inscritos em Dívida Ativa da União - Acima de R$ 1.000.000,00;false;4;4;75
2980;36722;Instituto Brasileiro de Museus (IBRAM);Comprar publicações do IBRAM de forma não-presencial;false;1;1;85
1057;37529;Ministério da Fazenda (MF);Cadastrar-se para utilizar a biblioteca da ESAF;false;2;10;50
1059;37529;Ministério da Fazenda (MF);Declarar operações Financeiras;false;3;2;100
1055;37529;Ministério da Fazenda (MF);Reparcelar débitos inscritos em Dívida Ativa da União - Acima de R$ 1.000.000,00;false;2;1;75
1056;37529;Ministério da Fazenda (MF);Declarar bens de Viajante;false;1;1;50
1067;37529;Ministério da Fazenda (MF);Obter acesso ao sistema CPF;false;88;18;100
1069;37529;Ministério da Fazenda (MF);Entregar a Declaração de Informações sobre Regularização de Obras;true;5;28;50
1074;37525;Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC);Registrar aceleradora para o Programa Start-Up Brasil;false;0;1;0
1065;37529;Ministério da Fazenda (MF);Obter Certidão de Regularidade Fiscal para Imóveis Rurais;true;17;40;100
1066;37529;Ministério da Fazenda (MF);Obter Certidão de Regularidade Fiscal para Obras;false;44;29;0
1064;37529;Ministério da Fazenda (MF);Obter Certidão de Regularidade Fiscal para Pessoas Jurídicas;true;22;24;100
2217;917;Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP);Obter autorização para a atividade de produção de solventes;false;0;0;0
2220;917;Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP);Obter autorização para a atividade de produção de combustíveis em centrais de matérias-primas petroquímicas;false;0;1;0
1073;58049;Ministério dos Direitos Humanos (MDH);Receber indenização por tratamento compulsório contra a Hanseníase;false;2;3;50
1072;37542;Ministério do Desenvolvimento Social  (MDS);Realizar venda ao poder público de alimentos provenientes de agricultura familiar via associações ou cooperativas;false;1;0;28
2785;36724;Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA);Obter Licença de Instalação;false;0;1;100
916;4715;Banco Central do Brasil (BACEN);Credenciar-se no SISBACEN - Pessoa Jurídica;false;1;6;0
810;13293;Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES);Obter Bolsa de Pós-Graduação no País;false;3;30;0
2591;890;Agência Espacial Brasileira (AEB);Obter licença para atividades espaciais de lançamento;false;0;1;0
911;23732;Departamento Nacional de Infraestrutura de Transportes (DNIT);Obter restituição de multa do DNIT;false;6;21;66
602;23732;Departamento Nacional de Infraestrutura de Transportes (DNIT);Emitir Autorização Especial de Trânsito;false;44;72;100
853;37065;Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN);Participar do Programa Educativo do Centro Nacional de Folclore e Cultura Popular;false;1;1;100
1071;58049;Ministério dos Direitos Humanos (MDH);Receber assistência e proteção a testemunhas;false;1;10;0
1340;37534;Ministério da Saúde (MS);Obter Melhorias Sanitárias Domiciliares para áreas indígenas;false;4;0;0
1327;37529;Ministério da Fazenda (MF);Optar pelo Simples Nacional;false;16;5;100
1087;37531;Ministério da Integração Nacional (MI);Obter isenção de PIS, PASEP e COFINS para obras de infraestrutura;false;4;0;50
793;37530;Ministério da Indústria, Comércio Exterior e Serviços (MDIC);Retificar Licenças de Importação após o desembaraço da mercadoria;false;0;1;100
1085;4715;Banco Central do Brasil (BACEN);Comprar moeda comemorativa;false;1;13;50
1086;4715;Banco Central do Brasil (BACEN);Realizar curso sobre os elementos de segurança do real;false;0;6;50
1141;37529;Ministério da Fazenda (MF);Obter Certificado de Regularidade Previdenciária;false;15;7;50
1088;6041;Casa Civil da Presidência da República (CC-PR);Obter capacitação e assistência técnica no meio rural;false;0;7;0
1089;6041;Casa Civil da Presidência da República (CC-PR);Regularizar propriedade na Amazônia Legal;false;0;2;0
1090;822;Advocacia-Geral da União (AGU);Obter mediação de conflitos através de procedimento de conciliação;false;2;5;0
1091;822;Advocacia-Geral da União (AGU);Obter defesa extrajudicial para órgãos, entes e agentes públicos;false;2;3;0
914;822;Advocacia-Geral da União (AGU);Obter restituição e retificação de receita recolhida indevidamente;false;4;3;50
1281;37534;Ministério da Saúde (MS);Habilitar-se no Programa Nacional de Triagem Neonatal;false;1;1;0
1095;37539;Ministério das Relações Exteriores (MRE);Lavrar atos de registro civil no exterior;false;4;3;0
1092;37539;Ministério das Relações Exteriores (MRE);Obter autorização para exportar produtos de defesa;false;2;2;100
4263;55699;Superintendência da Zona Franca de Manaus (SUFRAMA);Obter Certificado de Laudo de Produção;false;0;2;33
1098;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Obter orientação e apoio para o uso de signos distintivos coletivos para produtos agropecuários;false;0;0;50
1099;37535;Ministério da Transparência e Controladoria-Geral da União (CGU);Cadastrar-se no Sistema Integrado de Registro do CEIS e CNEP;false;17;7;100
1705;822;Advocacia-Geral da União (AGU);Propor acordo em processo judicial com ingresso de créditos para a união;false;1;4;0
1104;37528;Ministério da Educação (MEC);Obter recursos para obras de acessibilidade em escolas públicas;false;1;5;100
1106;37528;Ministério da Educação (MEC);Participar da Formação Continuada de Professores em Educação Especial;false;1;7;100
1107;37528;Ministério da Educação (MEC);Participar nos cursos do Programa Nacional de Acesso ao Ensino Técnico e Emprego;false;6;46;50
1134;37529;Ministério da Fazenda (MF);Obter assistência técnica sobre Regime de Previdência Complementar (segmento fechado).;false;0;1;100
1428;37525;Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC);Obter redução de IPI para produção de eletrônicos em território nacional;false;0;1;100
2811;36790;Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (INEP);Participar da Avaliação Nacional Seriada dos Estudantes de Medicina;false;8;2;66
1112;37534;Ministério da Saúde (MS);Registrar estabelecimentos e equipes de transplante;false;0;0;33
1173;37526;Ministério da Cultura (MinC);Obter capacitação e assessoria técnica para empreendimento criativo;false;1;2;0
1093;37539;Ministério das Relações Exteriores (MRE);Obter bolsa-prêmio do Programa de Ação Afirmativa do Instituto Rio Branco;false;0;14;100
1062;37529;Ministério da Fazenda (MF);Inscrever-se no Cadastro de Pessoas Físicas;false;38;26;100
1097;37539;Ministério das Relações Exteriores (MRE);Realizar atos notariais no exterior;false;2;0;0
1704;37544;Ministério do Meio Ambiente (MMA);Obter informações sobre as Unidades de Conservação Ambiental nacionais;false;2;2;100
4649;914;Agência Nacional de Vigilância Sanitária (ANVISA);Obter Certificado de Venda Livre para exportação de Produtos Saneantes;false;0;4;33
1291;4715;Banco Central do Brasil (BACEN);Agendar palestra de especialista do Banco Central;false;7;33;66
2218;917;Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP);Obter autorização para a atividade de formulação de combustíveis;false;0;0;0
2221;917;Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP);Obter cadastramento para a atividade de produção de biocombustíveis para fins de pesquisa;false;0;0;0
1105;37528;Ministério da Educação (MEC);Implantar Salas de Recursos Multifuncionais;false;0;13;66
1429;37525;Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC);Fazer pós-graduação em física;false;0;1;100
1110;37534;Ministério da Saúde (MS);Obter incentivo financeiro para financiamento de Serviço de Atendimento Móvel de Urgência - SAMU 192;false;1;0;100
1176;37526;Ministério da Cultura (MinC);Implantar Núcleo de Produção Digital;false;1;6;80
1118;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Receber autorização de comercialização para produtos destinados à alimentação animal;false;0;1;0
1119;37525;Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC);Obter bolsa de desenvolvimento científico e tecnológico;false;1;0;100
1120;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Registrar produtos de uso veterinário de natureza farmacêutica;false;1;0;0
1113;37534;Ministério da Saúde (MS);Obter assessoria técnica e capacitações para estabelecimento da hemorrede;false;0;4;75
1006;37529;Ministério da Fazenda (MF);Habilitar-se no Sistema de Controle de Atividades Financeiras;false;1;5;100
1114;37529;Ministério da Fazenda (MF);Obter redução tarifária por desabastecimento;false;0;1;100
1115;37529;Ministério da Fazenda (MF);Obter serviço de mediação para contenda por ação ou omissão de empresa multinacional;false;0;2;0
1116;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Renovar registro de estabelecimento fabricante, importador ou fracionador da alimentos para animais;false;0;1;0
1117;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Renovar registro de produto destinado à alimentação animal.;false;0;0;0
1430;37525;Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC);Fazer pós-graduação no Instituto Nacional de Pesquisas Espaciais;false;1;8;0
1135;37529;Ministério da Fazenda (MF);Excluir nome da Certidão de Dívida Ativa da União.;false;7;5;66
1709;37528;Ministério da Educação (MEC);Obter autorização para programa de residência para estudantes de medicina;false;3;5;66
1138;37529;Ministério da Fazenda (MF);Cadastrar regime próprio de previdência social;false;2;5;50
2319;7581;Comissão Nacional de Energia Nuclear (CNEN);Obter as concentrações de materiais radioativos em água e matrizes ambientais;false;0;0;0
1146;37529;Ministério da Fazenda (MF);Obter parcelamento de pagamento de arrematação de bens penhorados adquiridos em leilão judicial da PGFN;false;1;2;66
1220;37531;Ministério da Integração Nacional (MI);Voluntariar-se para a rede nacional de emergência de radioamadores;false;1;7;50
1221;6041;Casa Civil da Presidência da República (CC-PR);Obter financiamento para agricultores familiares e assentados rurais;false;0;5;0
1161;37528;Ministério da Educação (MEC);Credenciar instituição ou curso superior;true;14;17;75
1037;37539;Ministério das Relações Exteriores (MRE);Fazer a Carteira de Matrícula Consular;false;4;11;33
1431;37525;Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC);Obter análises técnicas especializadas;false;0;0;66
2411;34309;Fundação Nacional de Artes (FUNARTE);Obter apoio para realização de projetos de música popular;false;0;1;50
1436;37525;Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC);Obter autorização de uso do Telescópio SOAR;false;0;1;100
1166;37529;Ministério da Fazenda (MF);Declarar exportação;false;4;3;100
1708;37540;Ministério de Minas e Energia (MME);Obter informação acerca do andamento de processo minerário.;false;2;0;0
1142;37529;Ministério da Fazenda (MF);Apresentar recurso em julgamento na aplicação de legislação tributária em segunda instância;false;1;1;100
1707;37539;Ministério das Relações Exteriores (MRE);Consultar acervo da Biblioteca do Itamaraty;false;1;5;100
1432;37525;Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC);Obter auxílio para criação de empresa de base tecnológica;false;1;3;100
1435;37525;Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC);Obter autorização de uso do Observatório Pico dos Dias;false;0;0;100
1169;37529;Ministério da Fazenda (MF);Habilitar recinto para realização de operações de regimes especiais;false;0;1;100
2592;890;Agência Espacial Brasileira (AEB);Obter autorização para lançamento de objetos ao espaço;false;0;1;0
1150;37529;Ministério da Fazenda (MF);Excluir ou suspender nome do Cadastro Informativo de créditos não quitados do setor público federal;false;3;5;66
1157;37529;Ministério da Fazenda (MF);Obter informações de inteligência financeira para investigações;false;0;1;100
1209;37524;Ministério da Agricultura, Pecuária e Abastecimento (MAPA);Obter Certificado de Venda Livre;false;2;1;0
